"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.895051738,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.332510215,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q3",2.754591172,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.324457972,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.225554801,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q2",1.298881026,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.350193624,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.762585517,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q1",2.544481592,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q2",1.812135416,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q3",2.021812956,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q4",1.097353992,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q1",-0.659159835,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q2",-0.154146863,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.932669509,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q4",2.639479586,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",1.254800591,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.763499369,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.405586129,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.757933774,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.850903369,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.887062862,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.505330894,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.012498967,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.639082624,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.730602028,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.613954951,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.779357615,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.674043596,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",1.730290857,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.173831453,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",2.156948555,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.402394858,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.523473003,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.815881043,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.283889347,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.089986722,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.332777638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.992674785,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.746867545,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.959076739,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.899801372,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.15521508,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.219318711,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.933130719,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.490791061,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.526323638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.472298068,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.8765106,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.563545488,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.43279333,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.504488573,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.88172649,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.176438489,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.857539187,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.786865809,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.953416381,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.850183714,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.307228277,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.447209112,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.85708663,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.407245134,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.46899908,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.720414295,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285961789,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.126821795,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.443509971,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.76271622,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.816715577,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691752418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.46497131,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.074981114,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.066269651,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.615519517,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577084666,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.865439871,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q1",0.378045163,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q2",0.918307402,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.192489688,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.381031816,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.021879528,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.829139232,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.203096789,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.204760731,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.754172125,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q2",1.675420472,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.348846163,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.727628186,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q1",0.104331582,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.338476097,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.6655675,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.706718216,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.795667994,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.663148436,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.765014269,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.774490171,
